,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
4035,37.798484,-122.405227,1906,1.0,2,11/07/2013,675100,,1008
4036,37.788482,-122.432846,1885,1.0,2,04/15/2014,699000,,963
4037,37.80341,-122.426308,1924,1.0,1,10/09/2013,680000,,763
4038,37.751705,-122.417595,1908,1.0,2,07/24/2014,682000,3738,877
4039,37.773538,-122.447599,1890,1.0,1,05/07/2014,675000,,818
4040,37.788066,-122.418065,2014,1.0,2,01/31/2014,679000,,750
4041,37.777362,-122.42324,2014,1.0,1,01/24/2014,685000,,655
4042,37.777362,-122.42324,2014,1.0,1,01/29/2014,689000,,692
4043,37.777362,-122.42324,2014,1.0,1,02/10/2014,687000,,658
4044,37.788066,-122.418065,2014,1.0,3,01/24/2014,672500,,750
4045,37.771646,-122.428283,1904,2.0,2,06/30/2014,1678000,2696,1700
4046,37.760581,-122.387846,2013,1.0,1,01/16/2014,695000,,770
4047,37.788066,-122.418065,2014,1.0,2,01/17/2014,699000,,750
4048,37.760581,-122.387846,2013,1.0,1,01/09/2014,689000,,770
4049,37.765971,-122.437354,1907,1.0,2,06/03/2014,680000,,871
4050,37.781154,-122.401649,2010,1.0,1,12/07/2015,675000,,557
4051,37.760581,-122.387846,2013,1.0,1,12/20/2013,674000,,770
4052,37.792272,-122.422323,2014,,,04/21/2014,676000,,752
4053,37.769856,-122.426551,2014,1.0,1,03/26/2014,695000,,636
4054,37.769856,-122.426551,2014,2.0,2,03/26/2014,676500,,884
4055,37.769856,-122.426551,2014,1.0,1,03/21/2014,676100,,652
4056,37.772243,-122.423439,2014,2.0,2,11/26/2014,1320000,,1001
4057,37.766867,-122.448818,,,,11/07/2014,675000,,
4058,37.790535,-122.446099,1907,1.0,2,12/01/2015,680000,,
4059,37.79996,-122.418455,1910,1.0,1,03/14/2014,678000,,620
4060,37.75083,-122.410118,1906,1.0,2,01/03/2014,698000,1873,800
4061,37.75095,-122.408921,1923,1.0,1,06/05/2015,675000,,
4062,37.80121,-122.404785,1913,1.0,2,05/31/2013,699000,1909,2745
4063,37.772803,-122.482366,1923,1.0,1,03/25/2016,682500,,691
